Lexeme                     Token                         Position
==                         OP_EQUAL                      (45,12)
MODES                      EL_ID                         (45,19)
.                          PUNCT_DOT                     (45,21)
TRANSFORM                  EL_ID                         (45,31)
)                          ORG_CLOSE_PAREN               (45,32)
addTransforms              EL_ID                         (46,13)
(                          ORG_OPEN_PAREN                (46,15)
line                       EL_ID                         (46,20)
,                          PUNCT_COMMA                   (46,22)
lineNum                    EL_ID                         (46,30)
)                          ORG_CLOSE_PAREN               (46,32)
;                          PUNCT_SEMICOL                 (46,33)
else                       W_ELSE                        (47,0)
if                         W_IF                          (47,4)
(                          ORG_OPEN_PAREN                (47,7)
mode                       EL_ID                         (47,8)
==                         OP_EQUAL                      (47,11)
MODES                      EL_ID                         (47,18)
.                          PUNCT_DOT                     (47,20)
LINK                       EL_ID                         (47,25)
)                          ORG_CLOSE_PAREN               (47,26)
addLinks                   EL_ID                         (48,8)
(                          ORG_OPEN_PAREN                (48,10)
line                       EL_ID                         (48,15)
,                          PUNCT_COMMA                   (48,17)
lineNum                    EL_ID                         (48,25)
)                          ORG_CLOSE_PAREN               (48,27)
;                          PUNCT_SEMICOL                 (48,28)
}                          ORG_CLOSE_CURLY               (49,0)
else                       W_ELSE                        (50,0)
if                         W_IF                          (50,6)
(                          ORG_OPEN_PAREN                (50,8)
debug                      EL_ID                         (50,14)
)                          ORG_CLOSE_PAREN               (50,15)
System                     EL_ID                         (51,6)
.                          PUNCT_DOT                     (51,8)
out                        EL_ID                         (51,12)
.                          PUNCT_DOT                     (51,14)
println                    EL_ID                         (51,22)
(                          ORG_OPEN_PAREN                (51,24)
MODE                       EL_ID                         (51,27)
CHANGED                    EL_ID                         (51,24)
TO                         EL_ID                         (51,31)
+                          OP_PLUS                       (51,36)
mode                       EL_ID                         (51,41)
)                          ORG_CLOSE_PAREN               (51,43)
;                          PUNCT_SEMICOL                 (51,44)
}                          ORG_CLOSE_CURLY               (53,0)
reader                     EL_ID                         (54,6)
.                          PUNCT_DOT                     (54,8)
close                      EL_ID                         (54,14)
(                          ORG_OPEN_PAREN                (54,16)
)                          ORG_CLOSE_PAREN               (54,18)
;                          PUNCT_SEMICOL                 (54,19)
}                          ORG_CLOSE_CURLY               (55,0)
catch                      EL_ID                         (56,0)
(                          ORG_OPEN_PAREN                (56,6)
Exception                  EL_ID                         (56,7)
e                          EL_ID                         (56,16)
)                          ORG_CLOSE_PAREN               (56,17)
{                          ORG_OPEN_CURLY                (57,0)
